image_name,range,label_3h
2022-04-17 20-13-19,120km,0
2023-04-14 11-13-29,120km,0
2022-02-10 06-23-51,120km,3
2021-08-16 01-03-49,120km,0
2023-02-16 09-33-10,120km,0
2021-04-22 13-13-47,120km,3
2022-03-25 11-33-39,120km,0
2021-01-22 19-33-24,120km,2
2022-02-06 06-43-31,120km,0
2023-02-22 19-43-31,120km,0
2021-05-11 20-13-48,120km,2
2022-10-07 04-13-25,120km,1
2023-04-25 11-53-10,120km,2
2023-04-02 03-33-26,120km,0
2021-05-25 05-43-46,120km,0
2022-02-08 22-33-52,120km,0
2023-03-08 16-23-38,120km,0
2021-06-04 11-53-32,120km,0
2023-01-01 17-33-11,120km,2
2021-05-04 14-53-32,120km,0
2022-01-22 13-43-50,120km,0
2020-07-05 15-03-23,120km,2
2022-07-23 01-23-46,120km,0
2021-10-13 00-53-50,120km,3
2022-01-31 08-53-54,120km,0
2021-01-23 17-53-31,120km,0
2023-01-20 16-23-38,120km,0
2022-07-28 06-23-43,120km,1
2022-07-13 21-23-37,120km,0
2023-04-20 18-43-11,120km,2
2022-12-30 23-03-31,120km,0
2020-07-13 05-33-08,120km,1
2022-10-12 11-13-15,120km,1
2023-04-04 13-13-05,120km,2
2023-05-03 07-43-08,120km,1
2022-06-16 18-33-23,120km,2
2021-04-17 04-13-50,120km,1
2021-03-23 20-53-51,120km,2
2021-08-31 23-13-20,120km,2
2021-02-03 07-53-23,120km,0
2021-02-21 01-43-28,120km,0
2021-07-24 01-53-46,120km,3
2023-06-05 09-13-40,120km,3
2022-12-07 15-03-22,120km,2
2021-03-07 15-13-24,120km,0
2021-12-22 23-23-33,120km,0
2021-12-31 23-13-51,120km,0
2022-06-30 00-43-34,120km,2
2021-06-23 14-13-31,120km,0
2021-07-02 11-03-25,120km,0
2021-09-16 05-43-27,120km,1
2021-10-30 02-53-30,120km,2
2021-01-29 13-13-15,120km,0
2021-02-07 19-33-47,120km,2
2022-06-20 23-13-31,120km,2
2022-07-03 01-53-30,120km,1
2021-04-12 03-23-52,120km,3
2022-06-20 09-23-05,120km,1
2022-10-21 02-33-28,120km,2
2022-01-19 18-23-40,120km,0
2023-02-16 10-23-41,120km,0
2021-01-16 05-03-36,120km,0
2021-12-09 16-53-58,120km,0
2021-08-18 13-53-51,120km,4
2022-01-30 19-03-27,120km,0
2022-04-08 21-53-34,120km,0
2023-05-17 14-43-44,120km,0
2021-08-13 20-33-49,120km,0
2023-04-19 20-33-05,120km,0
2021-05-08 23-33-35,120km,0
2021-06-13 11-53-52,120km,3
2022-10-26 05-03-43,120km,3
2021-07-24 04-43-52,120km,2
2022-05-28 00-03-54,120km,0
2021-10-27 13-03-16,120km,0
2022-03-24 10-43-28,120km,0
2022-12-18 14-23-25,120km,0
2022-09-14 21-41-48,120km,0
2023-03-20 14-03-12,120km,0
2022-02-14 09-03-59,120km,2
2022-07-03 19-23-30,120km,0
2023-03-14 16-33-40,120km,0
2022-12-08 10-13-04,120km,0
2022-11-11 03-53-38,120km,2
2023-04-14 20-43-41,120km,2
2022-01-25 16-23-32,120km,0
2021-01-15 07-23-33,120km,0
2022-09-11 07-11-06,120km,4
2021-07-24 23-03-28,120km,2
2022-07-15 17-53-08,120km,3
2023-06-16 17-53-16,120km,2
2021-09-10 11-03-41,120km,1
2021-06-18 21-33-26,120km,0
2023-06-26 03-33-24,120km,3
2022-04-17 02-13-27,120km,0
2023-04-23 01-23-17,120km,0
2020-07-08 18-23-25,120km,0
2020-07-03 07-13-14,120km,0
2022-01-27 00-03-22,120km,0
2022-02-07 15-53-28,120km,0
2022-02-08 11-13-41,120km,2
2021-03-14 06-43-32,120km,2
2022-06-05 08-33-47,120km,3
2022-05-25 21-53-33,120km,0
2023-02-28 16-33-16,120km,0
2022-07-19 23-53-42,120km,1
2021-08-25 15-13-41,120km,0
2022-01-22 20-03-42,120km,0
2023-01-07 09-43-27,120km,0
2021-03-16 19-03-14,120km,2
2023-06-21 14-53-21,120km,1
2021-03-01 06-33-18,120km,2
2022-10-31 02-33-39,120km,0
2022-08-10 23-03-15,120km,3
2021-07-14 05-43-58,120km,1
2022-02-14 12-53-26,120km,0
2023-03-20 02-43-15,120km,0
2022-05-06 18-43-51,120km,0
2021-01-30 05-23-26,120km,0
2021-08-19 18-43-28,120km,0
2021-06-18 09-43-22,120km,2
2022-06-08 03-23-55,120km,0
2022-10-31 21-33-08,120km,2
2021-05-07 00-33-16,120km,2
2021-12-21 01-03-52,120km,0
2021-01-21 09-43-47,120km,0
2021-05-21 14-43-55,120km,3
2022-05-27 10-53-34,120km,0
2021-11-11 17-23-33,120km,0
2021-10-09 12-53-32,120km,2
2023-01-06 17-43-28,120km,0
2022-01-29 20-43-46,120km,0
2023-02-17 03-13-32,120km,0
2021-03-09 08-33-16,120km,0
2021-12-28 07-53-30,120km,3
2021-03-13 03-03-43,120km,0
2021-08-31 18-13-25,120km,2
2021-03-27 22-53-33,120km,0
2021-11-13 14-13-44,120km,2
2023-05-17 05-13-22,120km,1
2023-03-20 20-13-37,120km,0
2021-09-12 16-43-24,120km,3
2021-11-12 08-53-39,120km,3
2023-01-16 03-53-38,120km,0
2022-11-09 20-33-29,120km,0
2020-07-17 07-03-20,120km,1
2022-07-22 14-53-23,120km,0
2023-05-14 23-53-24,120km,2
2023-03-24 07-03-41,120km,2
2021-06-06 10-13-37,120km,2
2022-05-06 10-53-40,120km,0
2022-02-17 18-13-36,120km,0
2021-12-07 16-23-37,120km,0
2023-04-22 16-03-46,120km,0
2022-05-06 22-23-42,120km,0
2023-06-17 15-03-23,120km,2
2021-09-20 15-13-54,120km,0
2022-03-23 16-33-31,120km,0
2021-01-12 10-33-39,120km,0
2022-12-26 20-43-17,120km,0
2022-01-20 05-13-45,120km,0
2023-06-05 15-23-10,120km,2
2021-11-25 00-43-57,120km,0
2021-09-28 05-23-18,120km,4
2020-07-02 11-33-26,120km,0
2022-05-21 02-13-29,120km,3
2021-02-13 01-33-24,120km,0
2023-05-30 21-23-17,120km,0
2023-04-23 07-43-35,120km,2
2022-11-05 23-53-15,120km,0
2022-10-31 03-43-17,120km,0
2022-07-09 05-33-23,120km,1
2022-06-19 06-53-20,120km,4
2023-03-19 21-23-23,120km,0
2023-06-22 13-33-39,120km,1
2021-11-25 20-43-59,120km,0
2021-07-15 15-53-18,120km,2
2022-05-01 04-23-55,120km,2
2022-05-26 08-33-38,120km,3
2022-12-30 04-53-10,120km,2
2023-03-04 09-33-35,120km,0
2023-01-11 11-23-18,120km,0
2022-04-30 02-23-31,120km,2
2022-06-23 09-53-41,120km,3
2020-07-14 23-03-17,120km,0
2023-01-29 18-03-10,120km,0
2021-10-10 23-43-53,120km,1
2021-06-22 02-53-55,120km,4
2023-05-22 20-43-16,120km,0
2023-05-29 06-23-03,120km,3
2021-08-28 16-53-57,120km,0
2021-05-02 06-53-18,120km,2
2022-06-21 21-33-27,120km,0
2021-09-02 10-33-53,120km,1
2022-04-12 07-43-38,120km,2
2022-06-11 11-43-48,120km,3
2023-05-03 04-13-13,120km,2
2021-10-07 06-33-20,120km,1
2021-09-19 01-53-55,120km,3
2022-02-15 22-13-26,120km,0
2021-06-08 19-03-57,120km,0
2021-09-30 02-53-36,120km,3
2022-07-23 14-13-43,120km,2
2021-09-08 11-23-25,120km,2
2022-02-08 14-43-53,120km,2
2022-01-25 11-43-20,120km,0
2022-06-19 12-23-30,120km,2
2021-11-28 01-33-28,120km,0
2020-07-06 18-13-22,120km,0
2023-05-01 09-03-30,120km,0
2022-01-21 01-33-31,120km,0
2021-06-24 00-13-38,120km,0
2022-10-07 16-23-39,120km,1
2023-05-10 04-43-42,120km,4
2020-07-12 08-23-18,120km,4
2023-02-19 19-53-21,120km,2
2021-04-29 13-53-17,120km,0
2023-04-11 14-23-39,120km,0
2022-06-06 03-43-48,120km,2
2022-01-03 03-33-44,120km,0
2022-09-19 18-51-17,120km,2
2021-06-28 08-03-48,120km,1
2022-07-30 10-23-38,120km,2
2022-01-10 07-43-24,120km,0
2021-01-22 20-13-48,120km,2
2022-12-11 09-03-10,120km,0
2022-05-24 18-33-33,120km,0
2022-06-15 08-23-10,120km,4
2022-02-27 22-53-56,120km,0
2023-03-18 03-23-16,120km,0
2020-07-05 12-43-28,120km,2
2021-03-19 10-23-15,120km,2
2022-02-05 05-43-57,120km,0
2022-03-22 16-43-53,120km,0
2022-07-11 20-23-15,120km,2
2022-01-24 07-13-50,120km,0
2021-08-28 16-43-31,120km,0
2021-01-12 10-53-29,120km,0
2021-11-13 01-13-45,120km,0
2021-09-19 09-23-51,120km,3
2022-08-05 17-43-15,120km,2
2022-08-12 04-03-45,120km,1
2022-05-21 23-33-38,120km,0
2021-01-27 19-03-17,120km,0
2021-02-12 03-43-22,120km,0
2021-06-06 14-23-41,120km,2
2022-07-10 00-33-39,120km,2
2021-07-08 20-33-58,120km,3
2021-08-09 13-43-20,120km,1
2022-10-14 05-03-42,120km,2
2023-04-25 08-23-34,120km,2
2023-06-19 17-43-13,120km,0
2023-03-07 09-23-04,120km,0
2022-07-02 18-03-24,120km,4
2021-08-14 07-53-53,120km,3
2021-06-23 12-23-43,120km,2
2023-03-19 05-23-33,120km,0
2021-03-16 17-33-44,120km,2
2021-06-17 08-43-35,120km,1
2023-04-30 03-33-22,120km,0
2021-07-21 18-13-38,120km,2
2022-11-04 16-03-13,120km,2
2021-06-26 16-23-42,120km,0
2023-02-20 16-13-24,120km,0
2022-04-01 14-13-22,120km,0
2023-04-18 23-33-38,120km,0
2021-11-10 15-13-53,120km,0
2023-01-29 18-13-41,120km,0
2023-02-24 17-03-37,120km,0
2022-04-24 06-13-34,120km,1
2021-11-08 18-53-51,120km,0
2022-05-17 11-43-24,120km,3
2023-03-26 14-53-15,120km,2
2022-09-04 13-21-34,120km,0
2022-06-04 10-23-25,120km,0
2023-01-23 11-23-17,120km,0
2023-04-19 00-33-06,120km,0
2021-01-24 13-33-25,120km,0
2021-08-15 04-43-25,120km,2
2022-11-22 04-03-41,120km,1
2023-04-10 13-33-42,120km,2
2021-07-01 13-53-30,120km,0
2021-07-04 01-53-30,120km,3
2022-05-11 06-43-23,120km,3
2022-06-01 21-53-23,120km,2
2022-06-11 19-53-43,120km,2
2023-03-11 02-33-26,120km,0
2022-09-11 04-11-44,120km,1
2022-05-30 22-43-23,120km,0
2021-10-25 12-33-47,120km,0
2022-08-08 00-33-32,120km,2
2021-04-22 17-13-21,120km,3
2022-06-30 21-53-13,120km,0
2021-10-10 14-23-27,120km,3
2023-03-29 06-23-08,120km,2
2021-04-24 18-43-27,120km,0
2023-04-24 14-13-30,120km,0
2021-02-06 14-23-30,120km,0
2022-11-27 10-33-40,120km,0
2022-05-21 11-03-31,120km,2
2022-04-14 12-23-39,120km,3
2022-06-24 21-43-21,120km,0
2022-12-21 04-53-18,120km,0
2020-07-23 00-43-20,120km,0
2021-07-15 04-23-25,120km,4
2022-10-02 07-23-43,120km,1
2021-10-28 21-53-33,120km,0
2022-04-28 23-03-46,120km,2
2021-05-04 10-13-41,120km,0
2022-11-16 08-33-37,120km,1
2023-04-10 21-23-41,120km,0
2022-07-04 12-13-20,120km,0
2021-08-09 07-13-45,120km,1
2021-09-01 18-03-38,120km,2
2021-08-13 05-13-21,120km,1
2021-05-18 01-43-55,120km,3
2021-12-03 05-43-44,120km,0
2022-12-02 22-23-29,120km,2
2023-04-09 08-43-44,120km,0
2021-10-05 13-53-25,120km,3
2021-10-24 19-23-38,120km,0
2022-02-17 02-03-23,120km,0
2023-02-17 19-33-43,120km,2
2022-04-11 09-33-52,120km,0
2021-08-15 04-33-41,120km,3
2021-06-13 04-23-26,120km,3
2023-01-17 08-33-28,120km,0
2021-03-19 06-13-22,120km,2
2022-06-14 17-13-05,120km,2
2023-02-02 21-23-32,120km,2
2022-04-27 14-23-48,120km,0
2021-03-19 05-03-33,120km,0
2021-01-21 23-43-47,120km,2
2022-03-23 21-53-51,120km,2
2023-03-08 10-03-04,120km,0
2022-10-10 00-03-07,120km,2
2022-02-25 03-23-57,120km,0
2021-05-26 09-23-54,120km,2
2021-07-05 15-23-24,120km,0
2021-05-03 11-53-45,120km,2
2023-02-10 13-03-38,120km,2
2022-09-25 03-23-17,120km,4
2021-08-30 07-53-44,120km,4
2022-12-23 00-13-20,120km,0
2023-02-28 10-13-06,120km,0
2022-08-02 19-13-20,120km,0
2023-05-12 11-43-25,120km,2
2022-03-29 07-23-32,120km,3
2021-01-25 06-53-47,120km,0
2021-12-09 17-33-34,120km,0
2021-03-06 02-33-27,120km,0
2022-12-10 21-43-22,120km,0
2020-07-03 17-33-35,120km,3
2021-11-21 19-23-55,120km,0
2021-12-16 21-03-28,120km,0
2022-04-28 02-13-47,120km,0
2022-04-06 16-43-23,120km,2
2022-10-18 23-43-30,120km,1
2021-04-12 02-13-48,120km,0
2021-07-07 05-23-34,120km,4
2021-09-18 17-33-49,120km,3
2022-06-04 02-43-23,120km,3
2021-04-16 11-03-37,120km,1
2021-11-18 04-43-58,120km,3
2022-06-24 16-23-14,120km,2
2022-04-19 15-23-28,120km,0
2021-12-05 11-53-58,120km,0
2023-04-13 09-33-13,120km,0
2022-10-21 01-03-38,120km,2
2021-01-08 01-53-38,120km,0
2023-03-08 09-43-23,120km,0
2021-11-12 08-43-57,120km,3
2022-06-09 01-13-54,120km,0
2022-08-07 21-43-10,120km,0
2021-07-02 17-33-52,120km,0
2021-11-11 03-53-34,120km,3
2021-06-13 21-53-56,120km,0
2021-10-04 15-43-46,120km,2
2023-01-03 13-03-16,120km,0
2023-06-24 14-13-40,120km,0
2021-08-20 23-43-18,120km,0
2023-03-24 21-53-45,120km,0
2021-11-06 19-33-48,120km,0
2022-01-10 16-13-30,120km,0
2021-01-28 04-53-51,120km,0
2021-05-23 17-03-50,120km,1
2022-04-08 19-13-20,120km,0
2023-02-10 08-53-22,120km,0
2021-01-25 14-43-53,120km,0
2022-09-07 02-31-15,120km,4
2023-01-06 23-33-44,120km,2
2022-10-11 14-53-04,120km,0
2021-03-23 17-33-22,120km,0
2023-01-21 18-23-35,120km,0
2022-03-29 16-24-00,120km,2
2022-11-03 05-03-21,120km,1
2023-01-19 16-13-08,120km,0
2022-07-12 23-43-12,120km,2
2021-05-18 17-03-48,120km,3
2023-04-21 09-53-16,120km,0
2023-03-02 03-13-31,120km,0
2022-12-13 00-33-33,120km,0
2021-07-21 11-23-51,120km,0
2023-02-09 17-13-07,120km,2
2022-09-17 08-11-03,120km,4
2022-10-26 07-23-31,120km,4
2022-09-03 22-31-44,120km,0
2022-07-18 23-03-28,120km,0
2022-05-03 07-03-34,120km,3
2021-10-03 08-13-43,120km,0
2023-02-28 21-03-25,120km,0
2020-07-25 04-13-46,120km,2
2023-03-08 17-03-40,120km,0
2022-02-05 21-13-42,120km,0
2020-07-20 20-13-33,120km,1
2022-01-07 01-13-34,120km,0
2023-04-20 16-03-05,120km,2
2022-07-09 15-53-20,120km,0
2023-05-24 05-43-40,120km,4
2021-04-15 22-53-14,120km,2
2021-06-23 15-53-33,120km,0
2022-06-30 04-33-31,120km,4
2021-01-25 00-03-20,120km,0
2022-04-22 20-23-26,120km,0
2021-09-04 12-33-44,120km,3
2022-04-20 22-53-19,120km,0
2023-05-21 07-13-42,120km,2
2021-12-26 22-43-27,120km,0
2023-06-24 14-53-32,120km,0
2022-01-15 07-03-37,120km,0
2022-08-15 17-03-25,120km,0
2020-07-16 15-03-23,120km,0
2021-12-31 02-53-29,120km,0
2023-06-24 04-13-43,120km,3
2022-10-19 11-13-35,120km,1
2023-04-06 20-43-18,120km,0
2022-02-15 14-13-54,120km,0
2021-02-10 01-53-47,120km,2
2022-12-12 22-03-17,120km,0
2021-08-28 19-43-23,120km,0
2020-07-10 07-03-54,120km,1
2021-09-25 23-43-34,120km,0
2021-05-29 21-43-52,120km,2
2022-08-05 19-23-27,120km,1
2021-07-29 18-33-34,120km,3
2021-09-03 22-03-45,120km,0
2021-08-24 20-13-55,120km,2
2021-12-29 10-13-30,120km,2
2022-01-25 21-13-40,120km,0
2021-02-08 04-53-39,120km,1
2023-02-15 01-33-13,120km,0
2022-03-20 16-03-42,120km,2
2023-02-15 17-33-28,120km,2
2022-05-04 04-43-47,120km,2
2022-06-17 17-43-25,120km,3
2021-06-28 04-43-50,120km,2
2022-02-18 15-53-32,120km,0
2023-05-30 07-13-05,120km,3
2023-02-11 03-03-30,120km,0
2023-02-17 10-33-09,120km,2
2021-03-06 23-43-51,120km,0
2022-10-04 22-43-35,120km,2
2021-08-16 05-43-38,120km,1
2022-12-13 18-53-31,120km,0
2022-12-18 16-03-13,120km,0
2023-05-10 19-33-16,120km,1
2023-05-09 21-13-35,120km,2
2022-05-01 12-33-43,120km,2
2022-10-28 17-13-40,120km,1
2021-08-17 01-13-32,120km,0
2021-03-02 01-43-40,120km,0
2022-10-01 17-13-31,120km,2
