path,timestamp,generated,future_path,future_timestamp,future_label,future_avg_reflectivity
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T00:00,2021-06-10 00-00-40,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T00:03,2021-06-10 00-03-27,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T00:10,2021-06-10 00-10-25,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T00:13,2021-06-10 00-13-52,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T00:20,2021-06-10 00-20-50,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T00:23,2021-06-10 00-23-37,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T00:30,2021-06-10 00-30-35,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T00:33,2021-06-10 00-33-23,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T00:40,2021-06-10 00-40-20,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T00:43,2021-06-10 00-43-48,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T00:50,2021-06-10 00-50-46,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T00:53,2021-06-10 00-53-32,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T01:00,2021-06-10 01-00-29,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T01:03,2021-06-10 01-03-58,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T01:10,2021-06-10 01-10-55,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T01:13,2021-06-10 01-13-42,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T01:20,2021-06-10 01-20-39,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T01:23,2021-06-10 01-23-25,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T01:30,2021-06-10 01-30-22,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T01:33,2021-06-10 01-33-51,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T01:40,2021-06-10 01-40-48,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T01:43,2021-06-10 01-43-34,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T01:50,2021-06-10 01-50-32,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T01:53,2021-06-10 01-53-19,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T02:00,2021-06-10 02-00-17,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T02:03,2021-06-10 02-03-45,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T02:10,2021-06-10 02-10-43,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T02:13,2021-06-10 02-13-29,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T02:20,2021-06-10 02-20-27,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T02:23,2021-06-10 02-23-55,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T02:30,2021-06-10 02-30-52,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T02:33,2021-06-10 02-33-39,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T02:40,2021-06-10 02-40-36,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T02:43,2021-06-10 02-43-23,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T02:50,2021-06-10 02-50-19,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T02:53,2021-06-10 02-53-48,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T03:00,2021-06-10 03-00-45,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T03:03,2021-06-10 03-03-31,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T03:10,2021-06-10 03-10-29,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T03:13,2021-06-10 03-13-56,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T03:20,2021-06-10 03-20-53,False,,,,
2021/2021 Pro-Raw (10-19) T6/10/2021-06-10T03:23,2021-06-10 03-23-40,False,,,,
