path,timestamp,generated,future_path,future_timestamp,future_label,future_avg_reflectivity
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T00:00,2021-03-17 00-00-27,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T00:03,2021-03-17 00-03-46,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T00:10,2021-03-17 00-10-34,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T00:13,2021-03-17 00-13-52,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T00:20,2021-03-17 00-20-29,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T00:23,2021-03-17 00-23-48,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T00:30,2021-03-17 00-30-25,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T00:33,2021-03-17 00-33-43,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T00:40,2021-03-17 00-40-21,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T00:43,2021-03-17 00-43-40,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T00:50,2021-03-17 00-50-17,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T00:53,2021-03-17 00-53-37,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T01:00,2021-03-17 01-00-54,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T01:03,2021-03-17 01-03-33,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T01:10,2021-03-17 01-10-49,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T01:13,2021-03-17 01-13-28,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T01:20,2021-03-17 01-20-46,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T01:23,2021-03-17 01-23-24,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T01:30,2021-03-17 01-30-41,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T01:33,2021-03-17 01-33-19,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T01:40,2021-03-17 01-40-36,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T01:43,2021-03-17 01-43-15,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T01:50,2021-03-17 01-50-31,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T01:53,2021-03-17 01-53-50,False,,,,
2021/2021 Pro-Raw (17-31)T3/17/2021-03-17T02:00,2021-03-17 02-00-27,False,,,,
