path,timestamp,generated,future_path,future_timestamp,future_label,future_avg_reflectivity
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T00:00,2021-10-24 00-00-21,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T00:03,2021-10-24 00-03-49,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T00:10,2021-10-24 00-10-47,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T00:13,2021-10-24 00-13-33,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T00:20,2021-10-24 00-20-30,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T00:23,2021-10-24 00-23-16,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T00:30,2021-10-24 00-30-55,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T00:33,2021-10-24 00-33-41,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T00:40,2021-10-24 00-40-38,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T00:43,2021-10-24 00-43-25,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T00:50,2021-10-24 00-50-21,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T00:53,2021-10-24 00-53-48,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T01:00,2021-10-24 01-00-45,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T01:03,2021-10-24 01-03-32,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T01:10,2021-10-24 01-10-28,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T01:13,2021-10-24 01-13-57,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T01:20,2021-10-24 01-20-53,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T01:23,2021-10-24 01-23-40,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T01:30,2021-10-24 01-30-36,False,,,,
2021/2021 Pro-raw T10 (24-31)/24/2021-10-24T01:33,2021-10-24 01-33-22,False,,,,
