path,timestamp,generated,future_path,future_timestamp,future_label,future_avg_reflectivity
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T00:00,2021-11-01 00-00-21,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T00:03,2021-11-01 00-03-49,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T00:10,2021-11-01 00-10-45,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T00:13,2021-11-01 00-13-32,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T00:20,2021-11-01 00-20-29,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T00:23,2021-11-01 00-23-56,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T00:30,2021-11-01 00-30-53,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T00:33,2021-11-01 00-33-39,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T00:40,2021-11-01 00-40-36,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T00:43,2021-11-01 00-43-22,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T00:50,2021-11-01 00-50-19,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T00:53,2021-11-01 00-53-46,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T01:00,2021-11-01 01-00-43,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T01:03,2021-11-01 01-03-30,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T01:10,2021-11-01 01-10-26,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T01:13,2021-11-01 01-13-53,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T01:20,2021-11-01 01-20-49,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T01:23,2021-11-01 01-23-36,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T10:20,2021-11-01 10-20-52,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T10:23,2021-11-01 10-23-38,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T10:30,2021-11-01 10-30-35,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T10:33,2021-11-01 10-33-22,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T10:40,2021-11-01 10-40-19,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T10:43,2021-11-01 10-43-48,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T10:50,2021-11-01 10-50-46,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T10:53,2021-11-01 10-53-32,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T11:00,2021-11-01 11-00-30,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T11:03,2021-11-01 11-03-58,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T11:10,2021-11-01 11-10-14,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T11:13,2021-11-01 11-13-44,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T11:20,2021-11-01 11-20-41,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T11:23,2021-11-01 11-23-28,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T11:30,2021-11-01 11-30-26,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T11:33,2021-11-01 11-33-54,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T11:40,2021-11-01 11-40-52,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T11:43,2021-11-01 11-43-39,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T11:50,2021-11-01 11-50-37,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T11:53,2021-11-01 11-53-24,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T12:00,2021-11-01 12-00-22,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T12:03,2021-11-01 12-03-50,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T12:10,2021-11-01 12-10-48,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T12:13,2021-11-01 12-13-34,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T12:20,2021-11-01 12-20-32,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T12:23,2021-11-01 12-23-19,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T12:30,2021-11-01 12-30-17,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T12:33,2021-11-01 12-33-46,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T12:40,2021-11-01 12-40-44,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T12:43,2021-11-01 12-43-30,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T12:50,2021-11-01 12-50-29,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T12:53,2021-11-01 12-53-57,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T13:00,2021-11-01 13-00-55,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T13:03,2021-11-01 13-03-42,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T13:10,2021-11-01 13-10-39,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T13:13,2021-11-01 13-13-27,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T13:20,2021-11-01 13-20-25,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T13:23,2021-11-01 13-23-53,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T13:30,2021-11-01 13-30-51,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T13:33,2021-11-01 13-33-37,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T13:40,2021-11-01 13-40-35,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T13:43,2021-11-01 13-43-22,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T13:50,2021-11-01 13-50-21,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T13:53,2021-11-01 13-53-49,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T14:00,2021-11-01 14-00-47,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T14:03,2021-11-01 14-03-33,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T14:10,2021-11-01 14-10-32,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T14:13,2021-11-01 14-14-00,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T14:20,2021-11-01 14-20-16,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T14:23,2021-11-01 14-23-45,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T14:30,2021-11-01 14-30-42,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T14:33,2021-11-01 14-33-29,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T14:40,2021-11-01 14-40-27,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T14:43,2021-11-01 14-43-56,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T14:50,2021-11-01 14-50-54,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T14:53,2021-11-01 14-53-41,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T15:00,2021-11-01 15-00-39,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T15:03,2021-11-01 15-03-26,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T15:10,2021-11-01 15-10-23,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T15:13,2021-11-01 15-13-52,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T15:20,2021-11-01 15-20-50,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T15:23,2021-11-01 15-23-37,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T15:30,2021-11-01 15-30-35,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T15:33,2021-11-01 15-33-21,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T15:40,2021-11-01 15-40-19,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T15:43,2021-11-01 15-43-48,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T15:50,2021-11-01 15-50-46,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T15:53,2021-11-01 15-53-33,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T16:00,2021-11-01 16-00-30,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T16:03,2021-11-01 16-03-59,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T16:10,2021-11-01 16-10-15,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T16:13,2021-11-01 16-13-43,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T16:20,2021-11-01 16-20-41,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T16:23,2021-11-01 16-23-28,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T16:30,2021-11-01 16-30-26,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T16:33,2021-11-01 16-33-54,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T16:40,2021-11-01 16-40-53,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T16:43,2021-11-01 16-43-40,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T16:50,2021-11-01 16-50-37,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T16:53,2021-11-01 16-53-24,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T17:00,2021-11-01 17-00-21,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T17:03,2021-11-01 17-03-51,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T17:10,2021-11-01 17-10-48,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T17:13,2021-11-01 17-13-35,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T17:20,2021-11-01 17-20-32,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T17:23,2021-11-01 17-24-01,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T17:30,2021-11-01 17-30-18,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T17:33,2021-11-01 17-33-46,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T17:40,2021-11-01 17-40-43,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T17:43,2021-11-01 17-43-31,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T17:50,2021-11-01 17-50-29,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T17:53,2021-11-01 17-53-58,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T18:00,2021-11-01 18-00-55,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T18:03,2021-11-01 18-03-42,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T18:10,2021-11-01 18-10-40,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T18:13,2021-11-01 18-13-27,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T18:20,2021-11-01 18-20-25,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T18:23,2021-11-01 18-23-54,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T18:30,2021-11-01 18-30-51,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T18:33,2021-11-01 18-33-38,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T18:40,2021-11-01 18-40-36,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T18:43,2021-11-01 18-43-23,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T18:50,2021-11-01 18-50-21,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T18:53,2021-11-01 18-53-49,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T19:00,2021-11-01 19-00-47,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T19:03,2021-11-01 19-03-33,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T19:10,2021-11-01 19-10-31,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T19:13,2021-11-01 19-14-00,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T19:20,2021-11-01 19-20-16,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T19:23,2021-11-01 19-23-45,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T19:30,2021-11-01 19-30-43,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T19:33,2021-11-01 19-33-30,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T19:40,2021-11-01 19-40-28,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T19:43,2021-11-01 19-43-56,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T19:50,2021-11-01 19-50-53,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T19:53,2021-11-01 19-53-40,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T20:00,2021-11-01 20-00-39,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T20:03,2021-11-01 20-03-25,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T20:10,2021-11-01 20-10-23,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T20:13,2021-11-01 20-13-52,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T20:20,2021-11-01 20-20-49,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T20:23,2021-11-01 20-23-36,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T20:30,2021-11-01 20-30-34,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T20:33,2021-11-01 20-34-02,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T20:40,2021-11-01 20-40-18,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T20:43,2021-11-01 20-43-47,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T20:50,2021-11-01 20-50-45,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T20:53,2021-11-01 20-53-32,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T21:00,2021-11-01 21-00-29,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T21:03,2021-11-01 21-03-57,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T21:10,2021-11-01 21-10-55,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T21:13,2021-11-01 21-13-43,False,,,,
2021/Pro-raw (01-16) T11-2021/01/2021-11-01T21:20,2021-11-01 21-20-40,False,,,,
