path,timestamp,generated,future_path,future_timestamp,future_label,future_avg_reflectivity
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T00:00,2022-10-01 00-00-40,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T00:03,2022-10-01 00-03-23,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T00:10,2022-10-01 00-10-30,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T00:13,2022-10-01 00-13-13,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T00:20,2022-10-01 00-20-20,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T00:23,2022-10-01 00-23-43,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T00:30,2022-10-01 00-30-50,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T00:33,2022-10-01 00-33-33,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T00:40,2022-10-01 00-40-41,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T00:43,2022-10-01 00-43-25,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T00:50,2022-10-01 00-50-33,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T00:53,2022-10-01 00-53-15,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T01:00,2022-10-01 01-00-22,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T01:03,2022-10-01 01-03-06,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T01:10,2022-10-01 01-10-14,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T01:13,2022-10-01 01-13-38,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T01:20,2022-10-01 01-20-46,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T01:23,2022-10-01 01-23-29,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T01:30,2022-10-01 01-30-37,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T01:33,2022-10-01 01-33-20,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T01:40,2022-10-01 01-40-27,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T01:43,2022-10-01 01-43-10,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T01:50,2022-10-01 01-50-18,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T01:53,2022-10-01 01-53-42,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T02:00,2022-10-01 02-00-48,False,,,,
2022/Pro-Raw (01-08) T10-2022/01/2022-10-01T02:03,2022-10-01 02-03-32,False,,,,
