path,timestamp,generated,future_path,future_timestamp,future_label,future_avg_reflectivity
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T00:00,2023-03-17 00-00-39,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T00:03,2023-03-17 00-03-22,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T00:10,2023-03-17 00-10-27,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T00:13,2023-03-17 00-13-10,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T00:20,2023-03-17 00-20-19,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T00:23,2023-03-17 00-23-43,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T00:30,2023-03-17 00-30-49,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T00:33,2023-03-17 00-33-33,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T00:40,2023-03-17 00-40-39,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T00:43,2023-03-17 00-43-22,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T00:50,2023-03-17 00-50-26,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T00:53,2023-03-17 00-53-09,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T01:00,2023-03-17 01-00-17,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T01:03,2023-03-17 01-03-41,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T01:10,2023-03-17 01-10-46,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T01:13,2023-03-17 01-13-30,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T01:20,2023-03-17 01-20-37,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T01:23,2023-03-17 01-23-20,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T01:30,2023-03-17 01-30-26,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T01:33,2023-03-17 01-33-09,False,,,,
2023/Pro-Raw (16-31)- T03- 2023/17/2023-03-17T01:40,2023-03-17 01-40-16,False,,,,
